4096 0.000000
  2.4414e-04   3.6482e-01  -1.5859e+00  -3.5312e-01  -2.5074e-02   1.7868e-01   1.1940e-01
  2.4414e-04  -5.5664e-01  -5.9787e-01  -3.7839e-02   1.9295e-01  -1.0451e-01   4.6624e-01
  2.4414e-04   5.8884e-01   7.0812e-01   4.3104e-01   4.5187e-01   5.2504e-01  -4.0425e-01
  2.4414e-04  -8.5069e-01   6.4465e-01  -1.0198e+00   7.5429e-03   1.3696e-02   1.5176e-01
  2.4414e-04  -4.1186e-01  -3.6062e-01   5.3354e-01  -5.8621e-02   2.3923e-01   7.1428e-01
  2.4414e-04   1.9553e-01  -1.3249e+00   7.2789e-02   2.3275e-01  -1.2229e-01   2.0993e-01
  2.4414e-04  -8.8104e-02  -4.0845e-03   2.3946e-01  -1.6025e-01   4.9528e-02  -5.8228e-01
  2.4414e-04   2.4105e-01  -2.5060e-02  -1.3330e-01   3.4984e-02  -4.5043e-01  -1.1058e-01
  2.4414e-04  -6.9837e-01  -1.3109e-01   2.6393e-01  -5.7089e-01  -6.9237e-01   4.9779e-01
  2.4414e-04   3.0208e-01   4.8657e-01   2.2183e-01  -2.4254e-01   4.5359e-01   4.5584e-01
  2.4414e-04  -1.3871e-01   2.4189e-01   3.5868e-01  -6.1863e-01   2.5354e-01   6.9898e-01
  2.4414e-04   1.0019e+00  -2.2470e+00  -5.1051e-01   1.6750e-01  -8.4434e-02   3.8917e-01
  2.4414e-04  -1.2303e-01  -1.6901e-01   2.7984e-01   1.5354e-01  -6.3817e-01  -3.1425e-01
  2.4414e-04   1.0709e-01   5.4431e-01  -5.6586e-02  -2.4965e-01   1.5212e-01   4.0400e-02
  2.4414e-04   2.0838e-01   1.5226e-01   3.1884e-01  -1.6466e-01   6.0236e-01  -1.6238e-01
  2.4414e-04   4.2882e-02   4.6682e-01   7.7983e-02  -1.9541e-02  -2.2592e-01   1.7865e-01
  2.4414e-04  -2.0798e-01  -2.6721e-01   9.6686e-01  -6.6191e-01  -8.0862e-02  -7.1235e-01
  2.4414e-04   6.6944e-02   1.5124e-01  -2.3919e-01   3.3692e-02  -7.9479e-01   1.2543e-01
  2.4414e-04   1.9966e-01   1.4879e-02  -1.6160e-01  -5.1198e-02  -3.3696e-02   1.1551e-01
  2.4414e-04  -2.0456e-01   2.0235e-01  -2.7118e-01  -5.6164e-01   1.7859e-01   1.0237e-01
  2.4414e-04  -6.2189e-01  -1.1232e-01  -8.8342e-01   3.5061e-01  -5.9393e-01   4.0096e-01
  2.4414e-04   8.5091e-01  -1.4609e+00   1.8970e+00   2.1403e-01  -3.7459e-01  -3.8561e-01
